-------------------------------------------------------------------------------------------------------------------------------------------------------------------
| News#  | Title Content                                                                                        | Match Words                 | Score | Polarity  |
| 31     | CALTEX TO RAISE BAHRAIN OIL PRODUCT PRICES                                                           |                             | 0     | neutral   |
| 32     | CHARTER CO TO COMPLETE REORGANIZATION                                                                |                             | 0     | neutral   |
| 33     | NASHUA TO PURCHASE PRIVATE DISC MAKER                                                                |                             | 0     | neutral   |
| 34     | ALTRON INC 4TH QTR JAN 3                                                                             |                             | 0     | neutral   |
| 35     | COLLINS FOODS MOVES UP WARRANT CONVERSION                                                            |                             | 0     | neutral   |
| 36     | GENCORP PROPOSALS WITHDRAWN FROM MEETING                                                             |                             | 0     | neutral   |
| 37     | WEEKLY ELECTRIC OUTPUT UP 2.4 PCT FROM 1986                                                          |                             | 0     | neutral   |
| 38     | MONOLITHIC TO DROP GATE ARRAY LINE                                                                   | drop                        | -1    | negative  |
| 39     | API SAYS DISTILLATE STOCKS OFF 4.07 MLN BBLS, GASOLINE OFF 2.69 MLN, CRUDE UP 8.53 MLN               | crude                       | -1    | negative  |
| 40     | VERMONT FINANCIAL SERVICES SETS PAYOUT                                                               |                             | 0     | neutral   |
| 41     | RESORTS INTERNATIONAL GETS BUYOUT PROPOSAL FROM KSZ CO INC                                           |                             | 0     | neutral   |
| 42     | VR BUSINESS BROKERS EXPANDS OPERATIONS                                                               |                             | 0     | neutral   |
| 43     | CORRECTED - ATT FORMS COMPUTER SALES GROUPS                                                          |                             | 0     | neutral   |
| 44     | GREAT ATLANTIC AND PACIFIC TEA CO INC DIV                                                            | great                       | 1     | positive  |
| 45     | GARTNER GROUP ACQUIRES COMTEC PROGRAM                                                                | acquires                    | 1     | positive  |
| 46     | U.S. CAR SALES DOWN 3.9 PCT IN MID-MARCH                                                             |                             | 0     | neutral   |
| 47     | RESORTS INT'L RECEIVES TAKEOVER OFFER                                                                |                             | 0     | neutral   |
| 48     | CITICORP SEES DOUBLING IN RETAIL BANK NET                                                            |                             | 0     | neutral   |
| 49     | WD-40 CO 2ND QTR FEB 28 NET                                                                          |                             | 0     | neutral   |
| 50     | NASD TO BEGIN SEARCH FOR NEW PRESIDENT                                                               |                             | 0     | neutral   |
| 51     | BRAZIL COMPUTER MARKET TO REMAIN CLOSED-MINISTER                                                     |                             | 0     | neutral   |
| 52     | METALBANC IN OFFERING                                                                                |                             | 0     | neutral   |
| 53     | NORTHERN INDIANA PUBLIC SVC AGAIN OMITS DIV                                                          |                             | 0     | neutral   |
| 54     | FED'S JOHNSON SAYS DOLLAR STABILIZED AFTER FED TOOK APPROPRIATE ACTION                               | appropriate                 | 1     | positive  |
| 55     | FED CHAIRMAN VOLCKER SAYS BANK PROPOSALS A WORRY                                                     | worry                       | -1    | negative  |
| 56     | BORMAN'S INC DECLARES QTLY DIVIDEND                                                                  |                             | 0     | neutral   |
| 57     | INTERLEUKIN-2 DETAILS WARRANT CONVERSION                                                             |                             | 0     | neutral   |
| 58     | U.S. CORN ACREAGE SEEN NEAR RECORD LOW                                                               |                             | 0     | neutral   |
| 59     | KIRSCHNER COMPLETES PURCHASE                                                                         |                             | 0     | neutral   |
| 60     | U.S. SENATORS SEEK TO EXPAND USDA EXPORT BONUS                                                       | expand, bonus               | 2     | positive  |
| 61     | FED'S JOHNSON SAYS FED ACTED TO STABILIZE DOLLAR                                                     | stabilize                   | 1     | positive  |
| 62     | XOMA FILES FOR PUBLIC OFFERING                                                                       |                             | 0     | neutral   |
| 63     | REPUBLIC AMERICAN PLANS EXCHANGE OFFER                                                               |                             | 0     | neutral   |
| 64     | MARYLAND NATIONAL SEES NEW NAME                                                                      |                             | 0     | neutral   |
| 65     | VENEZUELA TO ANNOUCE PARTNER FOR COAL VENTURE                                                        |                             | 0     | neutral   |
| 66     | GOTTSCHALKS INC 4TH QTR NET                                                                          |                             | 0     | neutral   |
| 67     | BORG-WARNER SAYS IT DISCUSSED POSSIBLE TAKEOVER WITH IRWIN JACOBS                                    |                             | 0     | neutral   |
| 68     | CYCLOPS CORP SAYS CYACQ'S AMENDED OFFER RESTATES ORIGINAL CONDITIONS                                 |                             | 0     | neutral   |
| 69     | U.S. SUGAR QUOTA MAY BE EASED, CONGRESSMAN SAYS                                                      |                             | 0     | neutral   |
| 70     | MOBIL UNIT NAMES GROUP PRESIDENT                                                                     |                             | 0     | neutral   |
| 71     | SONY TO SHIP SAMPLE OPTICAL DISKS                                                                    |                             | 0     | neutral   |
| 72     | CALIFORNIA MICROWAVE TAKES 3RD QTR CHARGE                                                            |                             | 0     | neutral   |
| 73     | CRS SIRRINE PLANS MAJOR RESTRUCTURING, WRITE OFF OF UP 43 MLN DLRS                                   |                             | 0     | neutral   |
| 74     | H.F. AHMANSON AND CO QTLY DIVIDEND                                                                   |                             | 0     | neutral   |
| 75     | BORG-WARNER TELLS OF TALKS WITH JACOBS                                                               |                             | 0     | neutral   |
| 76     | CANADA VOWS TO FIGHT U.S. POTASH ACTION                                                              |                             | 0     | neutral   |
| 77     | TRINTOC, UNION CARBIDE TO BUILD METHANOL PLANT                                                       |                             | 0     | neutral   |
| 78     | ORMAND INDUSTRIES UNIT TO REPAY DEBT                                                                 | debt                        | -1    | negative  |
| 79     | VOLCKER CALLS DOLLAR SLIDE ENOUGH                                                                    | enough                      | 1     | positive  |
| 80     | NASDAQ MARCH SHORT INTEREST WAS 184.9 MLN SHRS VS 215.7 MLN SHARES IN FEBRUARY                       |                             | 0     | neutral   |
| 81     | RB INDUSTRIES COMPLETES STORE SALES                                                                  |                             | 0     | neutral   |
| 82     | TRAVELERS UNIT SELLS MORTGAGE CERTIFICATES                                                           |                             | 0     | neutral   |
| 83     | NASDAQ SHORT INTEREST IN MARCH FALLS                                                                 | falls                       | -1    | negative  |
| 84     | GOLDMAN SACHS SELLS SIGNET UNIT NOTES                                                                |                             | 0     | neutral   |
| 85     | NMS PHARMACEUTICAL SETS NEW BLOOD TEST                                                               |                             | 0     | neutral   |
| 86     | AMERICAN CAN SELLS CONVERTIBLE EUROBONDS                                                             |                             | 0     | neutral   |
| 87     | GENCORP TAKEOVER GROUP CANCELS HEARING                                                               |                             | 0     | neutral   |
| 88     | GENCORP FIXES RIGHTS SEPARATION DATE                                                                 |                             | 0     | neutral   |
| 89     | CANADA ENERGY MINISTER TO MAKE STATEMENT                                                             |                             | 0     | neutral   |
| 90     | AMERICAN INTERNATIONAL SELLS AFRICAN UNIT                                                            |                             | 0     | neutral   |
| 91     | OXFORD INDUSTRIES INC 3RD QTR FEB 27                                                                 |                             | 0     | neutral   |
| 92     | UNION TAKES AMERICAN AIRLINES TO COURT                                                               |                             | 0     | neutral   |
| 93     | PORTUGAL MAY HAVE PURCHASED U.S. CORN                                                                |                             | 0     | neutral   |
| 94     | TAIWAN TENDERING THURSDAY FOR U.S. CORN                                                              |                             | 0     | neutral   |
| 95     | SRI LANKA TENDERING OVERNIGHT FOR WHEAT                                                              |                             | 0     | neutral   |
| 96     | BRAZIL ANNOUNCES NEW PLANNING MINISTER                                                               |                             | 0     | neutral   |
| 97     | SYSTEMS CORP> 4TH QTR OPER LOSS                                                                      | loss                        | -1    | negative  |
| 98     | BAYOU IN DEFINITIE MERGER AGREEMENT                                                                  | agreement                   | 1     | positive  |
| 99     | APACHE FILES FOR 100 MLN DLR OFFERING                                                                |                             | 0     | neutral   |
| 100    | TRANSCONTINENTAL FILES NEW OFFER                                                                     |                             | 0     | neutral   |
| 101    | COMPUTER IDENTICS CORP 4TH QTR                                                                       |                             | 0     | neutral   |
| 102    | FLEET TO ACQUIRE ASSETS OF MARK IV UNIT                                                              |                             | 0     | neutral   |
| 103    | MIKRON INSTRUMENT CO 1ST QTR JAN 31                                                                  |                             | 0     | neutral   |
| 104    | GOLDEN NORTH HAS ENCOURAGING DRILL RESULTS                                                           | encouraging, golden         | 2     | positive  |
| 105    | UNISYS GETS ORDER FROM SWEDEN                                                                        |                             | 0     | neutral   |
| 106    | HAWKEYE ISSUES PREFERENCE STOCK                                                                      | issues                      | -1    | negative  |
| 107    | AUSTN FEB ANNUAL M3 MONEY SUPPLY RISES 11.2 PCT                                                      |                             | 0     | neutral   |
| 108    | PS GROUP USAIR MOVE UP DEADLINE                                                                      |                             | 0     | neutral   |
| 109    | TANDON SAYS SEARS STILL CUSTOMER                                                                     |                             | 0     | neutral   |
| 110    | MERGERS, PUBLIC OFFERS SEEN AMONG CAR DEALERS                                                        |                             | 0     | neutral   |
| 111    | COMPREHENSIVE CARE CORP 3RD QTR NET                                                                  | comprehensive               | 1     | positive  |
| 112    | CHAPMAN IN RESTRUCTURING                                                                             | restructuring               | 1     | positive  |
| 113    | VESTAR INC YEAR LOSS                                                                                 | loss                        | -1    | negative  |
| 114    | UNIVATION INC EXPANDS EUROPE DISTRIBUTION                                                            |                             | 0     | neutral   |
| 115    | BANCORP> YEAR NET                                                                                    |                             | 0     | neutral   |
| 116    | FIRST NEW HAMPSHIRE BANKS INC DIV                                                                    |                             | 0     | neutral   |
| 117    | HOUSE OF FABRICS QUARTERLY DIVIDEND                                                                  |                             | 0     | neutral   |
| 118    | BANK OF JAPAN BOUGHT 200 TO 300 MLN DLRS THIS MORNING, DEALERS SAID.                                 |                             | 0     | neutral   |
| 119    | MIAMI-BRAZIL AND BANK ADVISORY COMMITTEE AGREE TO 60-DAY EXTENSION ON CREDIT LINES                   |                             | 0     | neutral   |
| 120    | JAPAN BUYS MODEST AMOUNT OF DOLLARS, DEALERS SAY                                                     | modest                      | 1     | positive  |
| 121    | MIAMI-BRAZIL SAYS IT EXPECTS TO MAKE NO INTEREST PAYMENTS BEFORE MARCH 31                            |                             | 0     | neutral   |
| 122    | CORRECTED-MIAMI-BRAZIL, BANK COMMITTEE WILL TRANSMIT REQUEST FOR 60-DAY CREDIT EXTENSION             |                             | 0     | neutral   |
| 123    | BRAZIL/BANK COMMITTEE AGREE ON CREDIT REQUEST                                                        |                             | 0     | neutral   |
| 124    | JAPAN'S 1986/87 SUGAR CANE OUTPUT SEEN FALLING                                                       | falling                     | -1    | negative  |
| 125    | INDIAN ROCKET LAUNCH FAILS                                                                           | fails                       | -1    | negative  |
| 126    | AUSTRALIA'S OPPOSITION PARTY GAINING POPULARITY                                                      | gaining, opposition         | 0     | neutral   |
| 127    | WEEKS PETROLEUM LTD CALENDAR 1986                                                                    |                             | 0     | neutral   |
| 128    | BANK OF JAPAN KEEPS INTERVENING TO HOLD DOLLAR ABOVE 149 YEN, BROKERS                                |                             | 0     | neutral   |
| 129    | JAPAN INTERVENING TO KEEP DOLLAR UP, BROKERS                                                         |                             | 0     | neutral   |
| 130    | BELL GROUP ISSUING 200 MLN IN CONVERTIBLE BONDS                                                      |                             | 0     | neutral   |
| 131    | CURRENT EXCHANGE RATES ALMOST WITHIN LEVELS AGREED BY MAJOR NATIONS - SUMITA                         |                             | 0     | neutral   |
| 132    | SUMITA SAYS MAJOR NATIONS COOPERATED TO STABILISE CURRENCIES.                                        |                             | 0     | neutral   |
| 133    | THAILAND'S FOREIGN RESERVES FALL IN FEBRUARY                                                         | fall                        | -1    | negative  |
| 134    | EXCHANGE RATES ALMOST WITHIN G-6 LEVELS - SUMITA                                                     |                             | 0     | neutral   |
| 135    | N.Z. TRADE SURPLUS 119.1 MLN DLRS IN FEBRUARY                                                        |                             | 0     | neutral   |
| 136    | MATSUSHITA TO ISSUE 200 BILLION YEN CONVERTIBLE                                                      | issue                       | -1    | negative  |
| 137    | SUMITA SAYS BANK OF JAPAN HAS NO INTENTION OF LOWERING ITS DISCOUNT RATE                             |                             | 0     | neutral   |
| 138    | JAPAN DOES NOT INTEND TO CUT DISCOUNT RATE-SUMITA                                                    | cut                         | -1    | negative  |
| 139    | JARDINE MATHESON PROFITS SEEN UP SHARPLY IN 1986                                                     | sharply                     | -1    | negative  |
| 140    | HU YAOBANG APPEARS AT CHINA PARLIAMENTARY SESSION                                                    |                             | 0     | neutral   |
| 141    | FOREIGN BROKERS GET MORE ACCESS TO JAPANESE BONDS                                                    |                             | 0     | neutral   |
| 142    | CHINA'S FIRST JOINT VENTURE BANK REPORTS PROFIT                                                      | profit                      | 1     | positive  |
| 143    | BANGLADESH'S PAYMENTS DEFICIT NARROWS IN OCTOBER                                                     | deficit                     | -1    | negative  |
| 144    | PEKING FACES WATER RATIONING                                                                         |                             | 0     | neutral   |
| 145    | U.S.-CHINA CIGARETTE FILTER JOINT VENTURE SET UP                                                     |                             | 0     | neutral   |
| 146    | TWO JAPANESE STEELMAKERS TO CUT CAPITAL SPENDING                                                     | cut                         | -1    | negative  |
| 147    | NISSAN AFFILIATE TO ACQUIRE U.S. AUTOPARTS MAKER                                                     |                             | 0     | neutral   |
| 148    | DUTCH STATE LAUNCHES NEW EIGHT YEAR BULLET AT 6-1/4 PCT - OFFICIAL                                   |                             | 0     | neutral   |
| 149    | YEN MAY RISE TO 140 TO THE DOLLAR, NIKKEIREN SAYS                                                    | rise                        | 1     | positive  |
| 150    | SINGAPORE SECURITIES MARKET CONSIDERING CHANGES                                                      |                             | 0     | neutral   |
| 151    | NEW DUTCH BULLET STATE LOAN AT 6-1/4 PCT DUE 1995                                                    |                             | 0     | neutral   |
| 152    | BRUSSELS - FERRUZZI SAYS IT WILL PAY 630 MLN DLRS TO CPC INTERNATIONAL FOR EUROPEAN MILLS.           |                             | 0     | neutral   |
| 153    | VIETNAM TO RESETTLE 300,000 ON STATE FARMS IN 1987                                                   |                             | 0     | neutral   |
| 154    | EC MINISTERS FAIL TO END DEADLOCK ON RESEARCH PLAN                                                   | fail, deadlock              | -2    | negative  |
| 155    | MADAGASCAR EXTENDS AMOCO OIL EXPLORATION AGREEMENT                                                   | agreement                   | 1     | positive  |
| 156    | FERRUZZI DEAL WITH CPC WORTH 630 MLN DLRS                                                            | worth                       | 1     | positive  |
| 157    | AIRLINES CAN INCREASE HONG KONG/MANILA FLIGHTS                                                       |                             | 0     | neutral   |
| 158    | SWIRE PACIFIC LTD YEAR 1986                                                                          |                             | 0     | neutral   |
| 159    | BAT INDUSTRIES 1986 PRETAX PROFIT 1.39 BILLION STG VS 1.17 BILLION                                   | profit                      | 1     | positive  |
| 160    | BAT INDUSTRIES PLC 1986 YEAR                                                                         |                             | 0     | neutral   |
| 161    | SWIRE PLANS BONUS ISSUE ON HIGHER 1986 PROFITS                                                       | issue, bonus, higher        | 1     | positive  |
| 162    | JAPAN TRADE MINISTRY ASKS TRADE HOUSES, EXPORTERS TO REDUCE DLR SALES, SOURCES                       |                             | 0     | neutral   |
| 163    | SRI LANKAN GOVERNMENT TO STOP IMPORTING SUGAR                                                        |                             | 0     | neutral   |
| 164    | NEW DUTCH SPECIAL ADVANCES TOTAL 4.2 BILLION                                                         |                             | 0     | neutral   |
| 165    | DANISH FEBRUARY CONSUMER PRICES FALL 0.1 PCT                                                         | fall                        | -1    | negative  |
| 166    | JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES                                                    | cut                         | -1    | negative  |
| 167    | BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS                                                       |                             | 0     | neutral   |
| 168    | ABBEY NATIONAL HAS ONE BILLION DLR EURO CD PACT                                                      |                             | 0     | neutral   |
| 169    | ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND                                                          | issues                      | -1    | negative  |
| 170    | MIDDLE EAST CURRENCY MARKET SEES KEY CHANGES                                                         |                             | 0     | neutral   |
| 171    | BELGOLUX TRADE SWINGS INTO JANUARY DEFICIT                                                           | deficit                     | -1    | negative  |
| 172    | GUINNESS SEEKS U.K. INJUNCTION AGAINST SAUNDERS                                                      |                             | 0     | neutral   |
| 173    | CITIBANK LAUNCHES CURRENCY WARRANTS                                                                  |                             | 0     | neutral   |
| 174    | MALAYSIA'S FOREIGN BORROWING HELD AT 1986 LEVEL                                                      |                             | 0     | neutral   |
| 175    | BASF U.S. PROFIT,TURNOVER BOOSTED BY ACQUISITIONS                                                    |                             | 0     | neutral   |
| 176    | SWISS BANK NET FOREIGN ASSESTS UP IN 4TH QUARTER                                                     |                             | 0     | neutral   |
| 177    | BICC PLC 1986 YEAR                                                                                   |                             | 0     | neutral   |
| 178    | TAIWAN MONEY SUPPLY RISES 48.22 PCT IN YEAR                                                          |                             | 0     | neutral   |
| 179    | PAKISTAN SAYS AFGHAN AIR RAID KILLED ALMOST 150                                                      | killed                      | -1    | negative  |
| 180    | CHINA MUST CUT DEMAND, CONTINUE REFORMS, ZHAO SAYS                                                   | cut                         | -1    | negative  |
| 181    | NIPPON STEEL TO REDUCE DIVIDEND                                                                      |                             | 0     | neutral   |
| 182    | BAT SEES STRONG PERFORMANCE FROM ALL SECTORS                                                         | strong                      | 1     | positive  |
| 183    | CHINA'S PREMIER ZHAO SAYS POLITICAL CRISIS OVER                                                      | crisis, premier             | 0     | neutral   |
| 184    | TAIWAN SEES ITS INVESTMENT IN U.S. RISING SHARPLY                                                    | sharply                     | -1    | negative  |
| 185    | BABCOCK UNIT WINS ORDER FOR VENEZUELAN POWER PLANT                                                   | wins                        | 1     | positive  |
| 186    | JARDINE TO JOIN CONSORTIUM FOR HK SECOND AIRPORT                                                     |                             | 0     | neutral   |
| 187    | BABCOCK INTERNATIONAL PLC YEAR 1986                                                                  |                             | 0     | neutral   |
| 188    | VEBA PLACEMENT CONTINUES FOR SMALL SHAREHOLDERS                                                      |                             | 0     | neutral   |
| 189    | DELTA GROUP YEAR TO JAN 3.                                                                           |                             | 0     | neutral   |
| 190    | PLACER PACIFIC SAYS BIG BELL GOLD STUDY EXPANDING                                                    | gold                        | 1     | positive  |
| 191    | BELGIAN PUBLIC DEBT RISES IN FEBRUARY                                                                | debt                        | -1    | negative  |
| 192    | BABCOCK EXPECTS FURTHER PROGRESS IN 1987                                                             | progress                    | 1     | positive  |
| 193    | EGYPT BUYS 46,000 TONNES OF SUNFLOWERSEED OIL                                                        |                             | 0     | neutral   |
| 194    | CHINA TO TIGHTEN IMPORT CONTROL, CUT EXPORT COSTS                                                    | cut                         | -1    | negative  |
| 195    | WEST GERMANS TO MINT COMMUNITY ANNIVERSARY COIN                                                      |                             | 0     | neutral   |
| 196    | SINGAPORE GDP TO GROW SIX PCT IN FIRST QUARTER                                                       |                             | 0     | neutral   |
| 197    | CARGILL U.K. STRIKE TALKS TO RESUME THIS AFTERNOON                                                   | strike                      | -1    | negative  |
| 198    | NORWAY ISSUES 60 BILLION YEN EUROBOND                                                                | issues                      | -1    | negative  |
| 199    | BROCKWAY AIR TO BUY FIVE SAAB PLANES                                                                 |                             | 0     | neutral   |
| 200    | SAAB-SCANIA LAUNCHES 100 MLN DLR EURO-CP PROGRAM                                                     |                             | 0     | neutral   |
| 201    | BRITISH COMPOUND FEED PRODUCTION DETAILED                                                            |                             | 0     | neutral   |
| 202    | KLOECKNER UND CO'S 1986 PROFIT FALLS ABOUT 20 PCT                                                    | falls, profit               | 0     | neutral   |
| 203    | MIXED ASIAN REACTION TO NEW RUBBER PACT                                                              |                             | 0     | neutral   |
| 204    | CIBA-GEIGY, PHILLIPS PETROLEUM IN JOINT VENTURE                                                      |                             | 0     | neutral   |
| 205    | KRUPP TO BUILD SOUTH KOREAN STEEL PLANT                                                              |                             | 0     | neutral   |
| 206    | SWIRE EXPECTS CONTINUED GROWTH THIS YEAR                                                             | growth                      | 1     | positive  |
| 207    | UNCERTAINTY SURROUNDS EC SUGAR TENDER RESULT-TRADE                                                   | tender                      | 1     | positive  |
| 208    | ABU DHABI TO REOPEN GULF OILFIELD HIT IN 1986 RAID                                                   |                             | 0     | neutral   |
| 209    | CHAD SAYS TROOPS KILLED 1,200 LIBYANS IN BATTLE                                                      | killed                      | -1    | negative  |
| 210    | RAINBOW LIFTS PROGRESSIVE STAKE TO 52 PCT                                                            | progressive                 | 1     | positive  |
| 211    | BANK OF THAILAND PLANS ITS FIRST BOND ISSUE                                                          | issue                       | -1    | negative  |
| 212    | FOREIGN BROKERS GET MORE ACCESS TO JAPANESE BONDS                                                    |                             | 0     | neutral   |
| 213    | YEN MAY RISE TO 140 TO THE DLR, NIKKEIREN SAYS                                                       | rise                        | 1     | positive  |
| 214    | JAPAN BUYS MODEST AMOUNT OF DOLLARS, DEALERS SAY                                                     | modest                      | 1     | positive  |
| 215    | BRAZIL/BANK COMMITTEE AGREE ON CREDIT REQUEST                                                        |                             | 0     | neutral   |
| 216    | JAPAN DOES NOT INTEND TO CUT DISCOUNT RATE-SUMITA                                                    | cut                         | -1    | negative  |
| 217    | U.K. MONEY MARKET FORECAST REVISED TO SHOW SURPLUS                                                   |                             | 0     | neutral   |
| 218    | BANK OF ENGLAND DOES NOT OPERATE IN MONEY MARKET                                                     |                             | 0     | neutral   |
| 219    | BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS                                                       |                             | 0     | neutral   |
| 220    | EXCHANGE RATES ALMOST WITHIN G-6 LEVELS - SUMITA                                                     |                             | 0     | neutral   |
| 221    | AFGHAN BOMBING TOLL ALMOST 150                                                                       | toll                        | -1    | negative  |
| 222    | JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES                                                    | cut                         | -1    | negative  |
| 223    | SWIRE UNCOMMITTED ON PROPOSED NEW H.K. AIRPORT                                                       |                             | 0     | neutral   |
| 224    | CENTRAL BANKS BUY DOLLARS FOR YEN IN LONDON                                                          |                             | 0     | neutral   |
| 225    | BRAZIL, BANKS FAIL TO MAKE BREAKTHROUGH IN DEBT TALKS                                                | fail, breakthrough, debt    | -1    | negative  |
| 226    | CHINA MUST REFORM IRRATIONAL PRICE SYSTEM, ZHAO                                                      | reform, irrational          | 0     | neutral   |
| 227    | SEVERE DROUGHT AFFECTS EAST, NORTHEAST THAILAND                                                      | drought, severe             | -2    | negative  |
| 228    | OCEAN TRANSPORT AND TRADING PLC YEAR 1986                                                            |                             | 0     | neutral   |
| 229    | DART GROUP RAISES SUPERMARKETS GENERAL BID                                                           |                             | 0     | neutral   |
| 230    | OLSON INDUSTRIES INC 4TH QTR NET                                                                     |                             | 0     | neutral   |
| 231    | OLSON TO HAVE LOSS FROM EGG UNIT SALE                                                                | loss                        | -1    | negative  |
| 232    | JEFFERIES SETS SUPERMARKETS MARKET                                                                   |                             | 0     | neutral   |
| 233    | E.D. AND F. MAN TO BUY INTO HONG KONG FIRM                                                           |                             | 0     | neutral   |
| 234    | ORACLE CORP 3RD QTR FEB 28 NET                                                                       |                             | 0     | neutral   |
| 235    | DISNEY OPENING EXPERIMENTAL RETAIL OUTLET                                                            |                             | 0     | neutral   |
| 236    | ENTERRA CORP 4TH QTR LOSS                                                                            | loss                        | -1    | negative  |
| 237    | JOHNSTOWN/CONSOLIDATED REALTY TRUST NET                                                              | trust                       | 1     | positive  |
| 238    | DURIRON COMPLETES VALTEK PURCHASE                                                                    |                             | 0     | neutral   |
| 239    | WASHINGTON FEDERAL SAVINGS QUARTERLY DIV                                                             | savings                     | 1     | positive  |
| 240    | SINGER GETS TEXAS AIR CONTRACT                                                                       |                             | 0     | neutral   |
| 241    | ROWLEY-SCHER TO HAVE LOSS FOR YEAR                                                                   | loss                        | -1    | negative  |
| 242    | DIXONS SAID IT GOT AND ACCEPTED ONLY 20 PCT OF CYCLOPS SHARES IN TENDER                              | tender                      | 1     | positive  |
| 243    | LONDON ON RISE AS TRADING CENTRE IN U.S. DEBT                                                        | rise, debt                  | 0     | neutral   |
| 244    | MATSUSHITA TO ISSUE 200 BILLION YEN CONVERTIBLE                                                      | issue                       | -1    | negative  |
| 245    | DIXONS GETS ONLY 20 PCT OF CYCLOPS IN BID                                                            |                             | 0     | neutral   |
| 246    | OPPOSITION SAYS UK GOV'T GAVE ARMS TO CONTRAS                                                        | opposition                  | -1    | negative  |
| 247    | BRAZIL ANNOUNCES NEW PLANNING MINISTER                                                               |                             | 0     | neutral   |
| 248    | CITIBANK LAUNCHES CURRENCY WARRANTS                                                                  |                             | 0     | neutral   |
| 249    | KAUFMAN AND BROAD HOME CORP 1ST QTR FEB 28                                                           |                             | 0     | neutral   |
| 250    | METRO CABLE TO SELL PARTNERSHIP                                                                      |                             | 0     | neutral   |
| 251    | RENOUF HAS 93.4 PCT OF BENEQUITY UNITS                                                               |                             | 0     | neutral   |
| 252    | OIL ANALYST SEES PAPUA NEW GUINEA AS GOOD PROSPECT                                                   | good                        | 1     | positive  |
